gene_name,Astro.1,Astro.2,Astro.3,Astro.4,Astro.5,Cacna2d1.Lhx6.Reln,Cacna2d1.Lhx6.Vwa5a,Cacna2d1.Ndnf.Cxcl14,Cacna2d1.Ndnf.Npy,Cacna2d1.Ndnf.Rgs10,Calb2.Cntnap5a.Igfbp6,Calb2.Cntnap5a.Rspo3,Calb2.Cntnap5a.Vip,Calb2.Cryab,Calb2.Vip.Gpd1,Calb2.Vip.Igfbp4,Calb2.Vip.Nos1,Cck.Calca,Cck.Cxcl14.Calb1.Igfbp5,Cck.Cxcl14.Calb1.Kctd12,Cck.Cxcl14.Calb1.Tac2,Cck.Cxcl14.Calb1.Tnfaip8l3,Cck.Cxcl14.Slc17a8,Cck.Cxcl14.Vip,Cck.Lmo1.Npy,Cck.Lmo1.Vip.Crh,Cck.Lmo1.Vip.Fam19a2,Cck.Lmo1.Vip.Tac2,Cck.Lypd1,Cck.Sema5a,Choroid,Endo,Eryth.1,Eryth.2,Microglia.1,Microglia.2,Ntng1.Chrm2,Ntng1.Rgs10,Ntng1.Synpr,Oligo.1,Oligo.2,Oligo.3,Oligo.4,Oligo.5,PC.CA1.1,PC.CA1.2,PC.CA1.3,PC.Other1,PC.Other2,Pvalb.C1ql1.Cpne5,Pvalb.C1ql1.Npy,Pvalb.C1ql1.Pvalb,Pvalb.Tac1.Akr1c18,Pvalb.Tac1.Nr4a2,Pvalb.Tac1.Sst,Pvalb.Tac1.Syt2,Sst.Cryab,Sst.Erbb4.Crh,Sst.Erbb4.Rgs10,Sst.Erbb4.Th,Sst.Nos1,Sst.Npy.Cort,Sst.Npy.Mgat4c,Sst.Npy.Serpine2,Sst.Npy.Zbtb20,Sst.Pnoc.Calb1.Igfbp5,Sst.Pnoc.Calb1.Pvalb,Sst.Pnoc.Pvalb,Vip.Crh.C1ql1,Vip.Crh.Pcp4,Vsmc,Zero,utc,iteration,has_converged
3110035E14Rik,0.11775147928994084,0.10653594771241831,0.10666666666666667,0.10505050505050506,0.10512820512820513,0.10370370370370371,0.12325581395348838,0.12127659574468086,0.12352941176470589,0.10943396226415095,0.1,0.1,0.11960784313725491,0.1,0.12479338842975207,0.1,0.1,0.1,0.1138888888888889,0.12083333333333333,0.1,0.10847457627118645,0.1,0.1,0.11515151515151516,0.13278688524590165,0.1,0.1816326530612245,0.1,0.14225352112676057,0.1,0.1,0.1,0.1,0.1,0.1,0.37027027027027026,0.15555555555555556,0.1,0.30833333333333335,0.1588235294117647,0.1,0.1,0.8727272727272727,0.6813953488372093,2.1,3.5684684684684687,2.3089552238805973,4.766666666666667,0.1,0.1,0.11739130434782609,0.17017543859649123,0.11923076923076924,0.1394736842105263,0.11204819277108434,0.17407407407407408,0.1,0.2111111111111111,0.1,0.1,0.27391304347826084,0.2639344262295082,0.7725146198830409,0.38235294117647056,0.14924242424242423,0.44810126582278487,0.43333333333333335,0.1,0.1,0.11438848920863309,0.1,2022-07-14 21:02:08.150980,153,1
6330403K07Rik,1.419526627218935,0.7993464052287581,4.766666666666667,1.1353535353535353,1.4076923076923078,2.4074074074074074,1.146511627906977,2.695744680851064,1.1588235294117648,2.137735849056604,4.58,4.4399999999999995,3.7666666666666666,3.2,3.38099173553719,3.832673267326733,4.316666666666666,0.9709677419354839,9.697222222222221,5.245833333333333,4.322222222222222,12.261016949152541,2.6126050420168068,5.016666666666667,2.5545454545454547,4.378688524590164,2.1,3.773469387755102,4.570588235294117,1.2267605633802818,0.1,0.1821917808219178,0.1,0.15555555555555556,0.12777777777777777,0.10432900432900434,3.5324324324324325,1.7805555555555557,7.266666666666667,0.14166666666666666,0.12941176470588237,0.1392156862745098,0.11960784313725491,0.12272727272727274,1.1930232558139535,3.002439024390244,4.045945945945946,7.249253731343283,6.896296296296296,1.3388059701492538,2.7551724137931037,0.9869565217391304,0.4157894736842105,5.965384615384615,3.073684210526316,1.063855421686747,5.025925925925925,6.054545454545454,1.5444444444444445,5.1,20.52857142857143,4.868115942028985,9.985245901639344,8.257894736842104,4.58235294117647,10.065909090909091,6.4670886075949365,5.465591397849462,3.3222222222222224,4.046428571428572,0.13597122302158274,0.1,2022-07-14 21:02:08.150980,153,1
Adgrl2,0.1591715976331361,0.15228758169934642,0.16666666666666669,0.16565656565656567,0.12564102564102564,0.10740740740740741,0.11162790697674418,0.1,0.1823529411764706,0.12830188679245283,0.18,0.1,0.1,0.1,0.11652892561983472,0.1099009900990099,0.11666666666666667,0.35806451612903223,0.1138888888888889,0.1,0.1,0.11694915254237288,0.10840336134453782,0.1,0.17575757575757578,0.1,0.1,0.1,0.1,0.2549295774647887,0.1,0.30547945205479454,0.1,0.37777777777777777,0.12777777777777777,0.11731601731601732,0.37027027027027026,0.30833333333333335,0.1625,0.1,0.1,0.1,0.1,0.1,0.30930232558139537,0.35609756097560974,0.6045045045045044,0.3835820895522388,0.7296296296296296,0.30895522388059704,0.20344827586206898,0.17826086956521742,0.27543859649122804,0.2923076923076923,0.4552631578947368,0.5216867469879518,0.2851851851851852,0.4636363636363636,0.1,0.21764705882352942,0.18571428571428572,0.9260869565217391,0.5098360655737705,1.117543859649123,0.8176470588235294,0.4977272727272727,1.068354430379747,0.6053763440860215,0.1,0.1,0.2510791366906475,0.1,2022-07-14 21:02:08.150980,153,1
Aldoc,7.9461538461538455,11.041176470588235,10.893333333333333,15.206060606060605,7.730769230769231,0.20370370370370372,0.15813953488372093,0.1851063829787234,0.37058823529411766,0.2792452830188679,0.30000000000000004,0.58,0.6098039215686274,0.18,0.8190082644628099,1.1693069306930695,1.2166666666666668,0.16451612903225807,0.5027777777777778,0.32916666666666666,0.6,0.5067796610169492,0.40252100840336136,0.8222222222222222,0.3727272727272727,0.41147540983606556,0.7724137931034483,0.8551020408163265,2.2176470588235295,0.39577464788732397,1.1,0.1136986301369863,0.1,0.7666666666666666,0.12777777777777777,0.11731601731601732,0.8972972972972972,0.46111111111111114,0.35,0.6416666666666666,0.21764705882352942,0.14901960784313725,0.18823529411764706,0.28181818181818186,0.1697674418604651,0.16097560975609757,0.13603603603603603,0.1746268656716418,0.24814814814814815,0.12985074626865672,0.27241379310344827,0.6826086956521739,2.310526315789474,0.8307692307692307,0.7052631578947368,1.6421686746987953,1.137037037037037,0.4181818181818182,0.5444444444444444,0.5411764705882353,0.44285714285714284,0.563768115942029,0.13278688524590165,0.5970760233918129,0.4647058823529412,0.1946969696969697,0.14430379746835442,1.0247311827956989,0.6,0.4571428571428572,0.12158273381294965,0.1,2022-07-14 21:02:08.150980,153,1
Arpp21,0.19467455621301777,0.1718954248366013,0.21333333333333332,0.23131313131313133,0.12564102564102564,0.2851851851851852,0.1813953488372093,0.3765957446808511,0.22941176470588237,0.269811320754717,0.14,0.16,0.1392156862745098,0.24000000000000002,0.5132231404958678,0.2584158415841584,0.2833333333333333,0.7129032258064516,0.3916666666666667,0.3916666666666667,0.7666666666666666,0.27796610169491526,0.31848739495798317,0.5861111111111111,0.6,0.36229508196721316,0.20344827586206898,1.0183673469387755,0.1588235294117647,0.5647887323943662,0.1,0.1,0.17142857142857143,0.1,0.1,0.1,0.1945945945945946,0.37777777777777777,0.1625,0.14166666666666666,0.1,0.1,0.1,0.23636363636363636,0.7046511627906976,1.5146341463414634,2.027927927927928,3.6671641791044776,4.155555555555555,0.1,0.1,0.10869565217391305,0.1,0.1,0.11315789473684211,0.1,0.4703703703703703,0.1,0.1,0.12941176470588237,0.15714285714285714,0.15797101449275364,0.11639344262295083,0.10584795321637427,0.12352941176470589,0.11893939393939394,0.10632911392405064,0.11075268817204302,0.26666666666666666,0.35,0.10719424460431655,0.1,2022-07-14 21:02:08.150980,153,1
Bcl11b,0.12958579881656807,0.11960784313725491,0.14666666666666667,0.12020202020202021,0.10512820512820513,2.2222222222222223,1.7511627906976746,1.078723404255319,1.911764705882353,1.618867924528302,0.22,0.1,0.19803921568627453,0.76,0.13305785123966943,0.11980198019801981,0.1,0.16451612903225807,0.1138888888888889,0.12083333333333333,0.1,0.1593220338983051,0.14201680672268907,0.16944444444444445,0.20606060606060606,0.1,0.15172413793103448,0.12040816326530612,0.1588235294117647,0.9591549295774647,0.1,0.1273972602739726,0.1,0.15555555555555556,0.1,0.1,2.1135135135135137,3.2111111111111112,0.32916666666666666,0.1,0.1,0.1,0.1,0.1,0.8674418604651163,1.6121951219512196,2.883783783783784,1.4134328358208956,3.859259259259259,0.5029850746268657,0.6517241379310345,0.5173913043478261,0.31052631578947365,0.1576923076923077,0.5605263157894737,0.2686746987951807,1.7666666666666668,0.14545454545454545,0.24814814814814815,0.4529411764705883,1.8142857142857143,0.1289855072463768,0.4278688524590164,0.1935672514619883,0.28823529411764703,0.2628787878787879,0.3405063291139241,0.12150537634408604,0.37777777777777777,0.1,0.1,0.1,2022-07-14 21:02:08.150980,153,1
Cadps2,0.10591715976331362,0.1130718954248366,0.13333333333333333,0.1101010101010101,0.1,0.12222222222222223,0.12325581395348838,0.16382978723404257,0.1,0.1,0.78,1.2200000000000002,1.0607843137254902,0.58,0.10826446280991736,0.29801980198019806,0.30000000000000004,0.1,9.641666666666666,13.558333333333334,5.766666666666667,8.066101694915254,12.797478991596638,3.5861111111111112,1.8575757575757577,0.36229508196721316,1.9965517241379311,0.936734693877551,3.2176470588235295,0.12816901408450704,0.1,0.1136986301369863,0.1,0.1,0.1,0.10432900432900434,0.1,0.1138888888888889,1.2458333333333333,0.1,0.12941176470588237,0.1392156862745098,0.1,0.1,0.28604651162790695,0.6365853658536585,0.6945945945945946,0.6522388059701493,1.6,0.18955223880597016,0.13448275862068965,0.10869565217391305,0.11754385964912281,0.5230769230769231,0.24473684210526317,0.13614457831325302,0.24814814814814815,0.19090909090909092,0.1,0.33529411764705885,0.18571428571428572,0.1289855072463768,0.1,0.12923976608187135,0.12352941176470589,0.10757575757575757,0.12531645569620253,0.16451612903225807,0.1,0.20714285714285713,0.11438848920863309,0.1,2022-07-14 21:02:08.150980,153,1
Calb1,0.1,0.1,0.11333333333333334,0.10505050505050506,0.1,0.6,0.3558139534883721,0.1,0.12352941176470589,0.1,0.14,0.12000000000000001,0.1,0.1,0.13305785123966943,0.11980198019801981,0.1,0.1,3.3777777777777778,1.8916666666666668,1.3777777777777778,4.396610169491525,0.24285714285714285,0.28055555555555556,0.8878787878787878,0.5918032786885246,0.7551724137931034,1.426530612244898,2.6882352941176473,0.11408450704225352,0.1,0.1136986301369863,0.1,0.1,0.12777777777777777,0.10432900432900434,0.49189189189189186,0.1,0.49583333333333335,0.1,0.1,0.1,0.1,0.1,0.23953488372093024,0.40487804878048783,0.4783783783783784,0.5626865671641791,1.3592592592592594,0.2791044776119403,0.27241379310344827,0.1,0.18771929824561404,0.19615384615384618,2.205263157894737,0.6421686746987951,0.8407407407407407,0.1,0.2851851851851852,0.27647058823529413,0.18571428571428572,4.2449275362318835,4.591803278688524,1.14093567251462,2.7588235294117647,2.1492424242424244,1.9354430379746836,0.21827956989247313,0.1,0.11785714285714285,0.1,0.1,2022-07-14 21:02:08.150980,153,1
Calb2,0.1,0.10653594771241831,0.12666666666666668,0.1,0.10512820512820513,0.11481481481481481,0.1,0.20638297872340428,0.11176470588235295,0.1,3.62,3.48,2.550980392156863,3.18,3.265289256198347,2.6445544554455447,3.0833333333333335,0.1,0.1,0.12083333333333333,0.12777777777777777,0.15084745762711865,0.14201680672268907,0.26666666666666666,0.1,0.3295081967213115,0.15172413793103448,0.22244897959183674,0.1,0.11408450704225352,0.35,0.1,0.1,0.1,0.1,0.10432900432900434,0.1,0.1,0.20416666666666666,0.1,0.12941176470588237,0.1,0.1,0.1,0.1,0.11219512195121951,0.11801801801801802,0.15970149253731344,0.11851851851851852,0.30895522388059704,0.1,0.18695652173913044,0.22280701754385965,0.1,0.2578947368421053,0.1,0.9148148148148147,0.14545454545454545,0.13703703703703704,0.1,0.7571428571428571,0.1289855072463768,0.9032786885245901,0.7374269005847953,0.4529411764705883,0.8803030303030303,0.29620253164556964,0.1,1.1555555555555557,1.35,0.1,0.1,2022-07-14 21:02:08.150980,153,1
Cck,0.30118343195266273,0.1130718954248366,0.29333333333333333,0.13535353535353536,0.19230769230769232,9.844444444444443,15.146511627906976,5.86595744680851,10.252941176470587,2.156603773584906,0.45999999999999996,0.52,0.33529411764705885,3.86,0.1743801652892562,0.26831683168316833,0.3833333333333333,146.3258064516129,30.36388888888889,44.079166666666666,89.65555555555555,42.64237288135593,134.1,52.25277777777778,155.2060606060606,80.13278688524589,111.56551724137931,101.50816326530612,33.923529411764704,59.53661971830986,0.35,0.1273972602739726,0.17142857142857143,0.1,0.12777777777777777,0.11731601731601732,1.3432432432432433,2.5722222222222224,6.35,0.18333333333333335,0.3058823529411765,0.11960784313725491,0.14901960784313725,0.12272727272727274,3.96046511627907,8.85609756097561,13.244144144144144,7.562686567164179,10.72962962962963,11.040298507462687,16.927586206896553,14.656521739130435,3.0122807017543862,0.2730769230769231,2.4947368421052634,1.7867469879518074,8.025925925925925,1.3272727272727274,0.13703703703703704,0.5705882352941176,0.3857142857142857,0.5492753623188406,0.19836065573770492,0.2929824561403509,0.38235294117647056,0.26666666666666666,0.30886075949367087,0.25053763440860216,1.3777777777777778,10.242857142857142,0.1,0.1,2022-07-14 21:02:08.150980,153,1
Cdh13,0.10591715976331362,0.1,0.1,0.10505050505050506,0.11025641025641027,0.12962962962962965,0.1,0.24893617021276596,0.17058823529411765,0.269811320754717,0.1,0.12000000000000001,0.1,0.22,0.4223140495867769,0.13960396039603962,0.16666666666666669,0.2935483870967742,0.475,0.24583333333333335,0.48888888888888893,0.964406779661017,0.1588235294117647,0.15555555555555556,0.23636363636363636,0.1,0.15172413793103448,0.24285714285714285,0.21764705882352942,0.1563380281690141,0.1,0.1273972602739726,0.1,0.1,0.1,0.1,0.23513513513513515,0.19722222222222224,0.5583333333333333,0.26666666666666666,0.18823529411764706,0.11960784313725491,0.1,0.28181818181818186,0.12325581395348838,0.1,0.10900900900900902,0.35373134328358213,0.45185185185185184,0.1,0.1,0.12608695652173912,3.591228070175439,1.6384615384615386,1.0473684210526315,0.8349397590361446,1.3222222222222224,1.7363636363636366,1.5074074074074075,1.2764705882352942,1.0714285714285714,0.6072463768115942,1.1491803278688526,4.515204678362573,1.523529411764706,0.24772727272727274,2.4164556962025316,1.3903225806451613,0.3222222222222222,0.18928571428571428,0.11438848920863309,0.1,2022-07-14 21:02:08.150980,153,1
Chodl,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.14,0.1,0.1099009900990099,0.1,0.1,0.1,0.1,0.1,0.1,0.10840336134453782,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.11492537313432837,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.13703703703703704,0.1,0.1,0.1,2.2142857142857144,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.11785714285714285,0.1,0.1,2022-07-14 21:02:08.150980,153,1
Chrm2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.10826446280991736,0.1,0.13333333333333333,0.1,0.1138888888888889,0.14166666666666666,0.1,0.1,0.13361344537815126,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,2.072972972972973,0.12777777777777777,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.15970149253731344,0.1,0.15970149253731344,0.20344827586206898,0.4826086956521739,0.27543859649122804,0.19615384615384618,0.23157894736842105,0.3530120481927711,0.17407407407407408,0.32727272727272727,0.1,0.1588235294117647,0.5857142857142857,0.1144927536231884,0.14918032786885246,0.10584795321637427,0.11176470588235295,0.1303030303030303,0.11898734177215191,0.1860215053763441,0.1,0.1,0.1,0.1,2022-07-14 21:02:08.150980,153,1
Cnr1,0.20059171597633135,0.1588235294117647,0.12666666666666668,0.18585858585858586,0.11025641025641027,0.40740740740740744,0.6465116279069767,3.4191489361702128,1.2058823529411766,3.279245283018868,1.6600000000000001,2.7,3.1588235294117646,4.46,1.9099173553719009,3.09009900990099,4.816666666666666,50.745161290322585,44.03055555555556,69.4125,56.18333333333334,28.1,124.15042016806723,15.475,81.72121212121212,26.559016393442626,73.27241379310344,44.69183673469388,22.041176470588237,34.36760563380282,0.35,0.1684931506849315,0.24285714285714285,0.2111111111111111,0.18333333333333335,0.13896103896103895,5.113513513513513,15.141666666666666,19.308333333333334,0.18333333333333335,0.3941176470588236,0.16862745098039217,0.1588235294117647,0.21363636363636362,0.26279069767441865,0.526829268292683,0.6315315315315315,0.9805970149253731,2.0074074074074075,0.35373134328358213,0.44482758620689655,0.4217391304347826,0.46842105263157896,0.5423076923076923,0.7973684210526315,0.5337349397590362,5.729629629629629,0.8727272727272727,1.951851851851852,0.6588235294117647,0.5571428571428572,1.6217391304347828,2.198360655737705,1.357309941520468,1.0058823529411764,2.975,2.8848101265822788,1.3903225806451613,1.8222222222222224,2.492857142857143,0.13597122302158274,0.1,2022-07-14 21:02:08.150980,153,1
Col25a1,0.11775147928994084,0.1,0.13333333333333333,0.10505050505050506,0.1,2.188888888888889,3.588372093023256,0.2276595744680851,0.2529411764705882,0.14716981132075474,0.1,0.22,0.1,0.14,0.11652892561983472,0.1099009900990099,0.1,5.325806451612903,8.488888888888889,9.5375,6.322222222222222,4.074576271186441,9.923529411764706,0.9333333333333333,8.948484848484847,2.4278688524590164,8.858620689655172,5.263265306122449,6.688235294117646,5.043661971830986,0.1,0.1136986301369863,0.1,0.1,0.1,0.10865800865800866,0.7756756756756756,1.9194444444444445,2.3708333333333336,0.1,0.1588235294117647,0.1,0.1,0.12272727272727274,0.1,0.20975609756097563,0.2531531531531531,0.6373134328358209,0.43333333333333335,0.21940298507462686,1.1344827586206898,0.6130434782608696,2.836842105263158,0.1,0.24473684210526317,0.1602409638554217,1.0629629629629629,0.1,3.72962962962963,0.12941176470588237,4.728571428571429,0.18695652173913044,0.1,0.8953216374269005,1.1,0.1340909090909091,0.3405063291139241,1.99247311827957,0.1,0.225,0.1,0.1,2022-07-14 21:02:08.150980,153,1
Cort,0.11183431952662723,0.1,0.11333333333333334,0.1,0.1,0.9777777777777777,0.6697674418604651,0.12127659574468086,0.711764705882353,0.2509433962264151,0.1,0.16,0.1,0.12000000000000001,0.14132231404958678,0.1594059405940594,0.1,0.1,0.18333333333333335,0.14166666666666666,0.1,0.15084745762711865,0.1504201680672269,0.1138888888888889,0.11515151515151516,0.14918032786885246,0.1,0.12040816326530612,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.12083333333333333,0.14166666666666666,0.1,0.1,0.1,0.14545454545454545,0.12325581395348838,0.1,0.10900900900900902,0.1,0.11851851851851852,0.18955223880597016,0.23793103448275862,0.15217391304347827,1.468421052631579,0.7730769230769231,5.771052631578947,0.9313253012048193,0.6925925925925925,0.6,1.1740740740740743,2.511764705882353,3.9857142857142858,8.128985507246377,1.0344262295081967,0.3573099415204678,0.30000000000000004,0.4446969696969697,0.7708860759493671,0.3365591397849462,0.1,0.35,0.1,0.1,2022-07-14 21:02:08.150980,153,1
Cox6a2,0.1,0.10653594771241831,0.11333333333333334,0.11515151515151516,0.10512820512820513,2.2444444444444445,0.6,0.24893617021276596,1.3588235294117648,0.9679245283018868,0.1,0.1,0.1,0.12000000000000001,0.1578512396694215,0.6445544554455446,0.4833333333333334,0.1,0.1,0.20416666666666666,0.12777777777777777,0.11694915254237288,0.16722689075630254,0.1,0.22121212121212122,0.11639344262295083,0.15172413793103448,0.20204081632653062,0.1588235294117647,0.21267605633802816,0.1,0.1136986301369863,0.1,0.1,0.18333333333333335,0.12164502164502165,0.26216216216216215,0.6694444444444444,0.225,0.1,0.1,0.1,0.10980392156862745,0.1,0.1,0.12439024390243902,0.1,0.12985074626865672,0.1,3.9507462686567165,2.1689655172413795,2.2130434782608694,1.1,1.5615384615384615,2.2315789473684213,4.148192771084337,1.137037037037037,0.4636363636363636,0.4703703703703703,1.8647058823529412,0.1,0.4043478260869565,0.11639344262295083,0.12339181286549708,0.41764705882352937,0.10378787878787879,0.1,0.2935483870967742,0.1,0.26071428571428573,0.1,0.1,2022-07-14 21:02:08.150980,153,1
Cplx2,0.508284023668639,0.2045751633986928,0.4866666666666667,0.3171717171717172,0.2897435897435897,0.5666666666666667,0.6465116279069767,1.9936170212765958,0.6529411764705882,0.6660377358490566,0.7,1.0,1.6686274509803922,2.02,2.1082644628099176,1.3970297029702972,3.2,13.13225806451613,19.544444444444444,26.01666666666667,18.822222222222223,10.86271186440678,28.696638655462188,5.627777777777777,20.372727272727275,10.936065573770492,18.944827586206898,16.793877551020408,9.98235294117647,13.043661971830986,0.1,0.1410958904109589,0.17142857142857143,0.15555555555555556,0.1,0.11731601731601732,4.262162162162162,10.613888888888889,10.225,0.1,0.1588235294117647,0.12941176470588237,0.12941176470588237,0.12272727272727274,1.6116279069767443,1.929268292682927,2.955855855855856,3.5776119402985076,5.637037037037037,0.5477611940298508,0.6172413793103448,0.5869565217391305,0.46842105263157896,0.25384615384615383,0.49473684210526314,0.4373493975903614,3.8777777777777778,0.28181818181818186,1.8037037037037038,0.24705882352941178,6.271428571428571,1.9695652173913045,2.559016393442623,4.895321637426901,3.1,3.35,3.5430379746835445,2.6161290322580646,1.1,1.7964285714285715,0.1431654676258993,0.1,2022-07-14 21:02:08.150980,153,1
Cpne5,0.11183431952662723,0.1,0.10666666666666667,0.10505050505050506,0.10512820512820513,0.17777777777777778,0.1,0.2914893617021277,0.19411764705882353,0.16603773584905662,0.26,0.26,0.3156862745098039,0.38,0.13305785123966943,0.1594059405940594,0.1,0.22903225806451613,7.016666666666667,5.766666666666667,1.3222222222222224,5.167796610169491,1.0915966386554623,0.28055555555555556,0.17575757575757578,0.23114754098360657,0.13448275862068965,0.16122448979591836,0.1588235294117647,0.2549295774647887,0.1,0.1,0.1,0.1,0.1,0.1,0.7081081081081081,0.2388888888888889,0.6208333333333333,0.1,0.1,0.1,0.1,0.1,0.1930232558139535,0.23414634146341465,0.49639639639639643,0.23432835820895523,0.3037037037037037,1.0701492537313433,0.20344827586206898,0.2565217391304348,0.1,0.1,0.16578947368421054,0.1,0.3592592592592593,0.1,0.1,0.1588235294117647,0.8428571428571429,0.27391304347826084,0.739344262295082,0.49766081871345025,0.37058823529411766,0.40681818181818186,0.2645569620253164,0.11075268817204302,0.3222222222222222,0.15357142857142858,0.1,0.1,2022-07-14 21:02:08.150980,153,1
Crh,0.1,0.1,0.1,0.1,0.1,0.11851851851851852,0.1,0.1,0.11176470588235295,0.1,1.54,0.22,0.5705882352941176,0.33999999999999997,0.35619834710743803,0.22871287128712872,0.16666666666666669,0.1,0.2388888888888889,0.12083333333333333,0.2388888888888889,0.16779661016949154,0.10840336134453782,0.475,0.1303030303030303,2.1327868852459018,0.20344827586206898,0.20204081632653062,0.1588235294117647,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1138888888888889,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.14477611940298507,0.1,0.14477611940298507,0.1,0.30000000000000004,0.15263157894736842,0.1,0.17894736842105263,0.1,0.3222222222222222,1.2363636363636366,0.1,0.3058823529411765,0.1,0.1,0.21475409836065573,0.14678362573099416,0.2529411764705882,0.1606060606060606,0.7012658227848101,0.1967741935483871,2.2666666666666666,3.3142857142857145,0.1,0.1,2022-07-14 21:02:08.150980,153,1
Crhbp,0.11775147928994084,0.1,0.1,0.1,0.1,0.10740740740740741,0.13488372093023257,0.12127659574468086,0.11176470588235295,0.1,0.1,0.1,0.1,0.14,0.1,0.1,0.1,0.1,0.1,0.12083333333333333,0.1,0.1423728813559322,0.21764705882352942,0.1,0.1,0.13278688524590165,0.1,0.12040816326530612,0.1588235294117647,0.11408450704225352,0.1,0.1,0.1,0.15555555555555556,0.1,0.1,0.5324324324324324,0.1138888888888889,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.11219512195121951,0.1,0.1,0.1,0.1,0.1,0.11739130434782609,5.749122807017543,0.35,3.1,2.3289156626506027,0.7666666666666666,0.1,0.4703703703703703,0.24705882352941178,17.52857142857143,5.926086956521739,1.29672131147541,6.97719298245614,1.2764705882352942,0.8045454545454546,2.258227848101266,1.4440860215053763,0.1,0.11785714285714285,0.1,0.1,2022-07-14 21:02:08.150980,153,1
Cryab,0.8041420118343195,0.7209150326797386,1.7066666666666668,1.296969696969697,0.8487179487179487,8.077777777777778,7.681395348837209,5.397872340425532,7.735294117647059,7.590566037735849,1.3800000000000001,0.22,0.49215686274509807,3.62,0.4636363636363636,0.1792079207920792,0.1,4.196774193548387,0.12777777777777777,0.1625,0.46111111111111114,0.2271186440677966,0.2008403361344538,2.5305555555555554,0.7212121212121212,0.9524590163934425,0.18620689655172415,1.0387755102040817,0.1,1.128169014084507,6.1,0.7712328767123288,0.1,1.7111111111111112,0.18333333333333335,0.1303030303030303,0.14054054054054055,0.19722222222222224,0.1625,12.933333333333334,39.57058823529412,30.315686274509805,16.68823529411765,8.759090909090908,0.21627906976744188,0.24634146341463414,0.2711711711711712,0.7417910447761193,1.2851851851851852,0.18955223880597016,1.9965517241379311,0.27391304347826084,0.11754385964912281,0.1,0.19210526315789472,0.18433734939759036,5.47037037037037,0.19090909090909092,0.2111111111111111,0.1,0.1285714285714286,0.1289855072463768,0.13278688524590165,0.19941520467836257,0.1588235294117647,0.11893939393939394,0.12531645569620253,0.13225806451612904,0.8222222222222222,1.1714285714285715,0.6323741007194245,0.1,2022-07-14 21:02:08.150980,153,1
